human;mouse;zebrafish;drosophila;c elegans;ciliate;yeast;methanocaldococcus;thermococcus; tuberculosis;e coli
300;300;300;129,8416375;68,03857891;27,45222529;16,1857524;1;0,568636236;8,266802735;0,086186148
90,30627305;83,3400838;80,97469413;68,63078414;66,18508682;56,75945075;62,05158703;3;2,15490196;0,397940009;0,214670165
87,44129143;86,82390874;82,23433145;58,48148606;65,22329882;50,44009337;78,05747837;0;0,769551079;0;0
95,65955589;95,81247928;94,75202673;95,02733441;93,35066514;85,075204;86,48017201;2,468521083;1,244125144;0;0,045757491
66,9625735;67,11918641;67,94692156;67,09582563;67,21112488;44,70774393;51,96657624;4,085128182;4,480172006;1,161150909;0
